,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
336,319,Ja Morant,PG,23,MEM,36,36,32.0,9.8,20.8,.469,1.7,5.3,.326,8.0,15.5,.517,.510,6.3,8.3,.753,1.1,4.6,5.7,7.9,1.0,0.3,3.5,1.7,27.5,2023
337,320,Marcus Morris,PF,33,LAC,41,41,29.5,5.0,11.2,.441,2.1,5.5,.382,2.9,5.7,.498,.535,1.3,1.6,.803,0.5,4.2,4.8,1.7,0.7,0.5,1.0,2.3,13.3,2023
338,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
339,321,Markieff Morris,PF,33,BRK,20,1,11.2,1.4,3.2,.444,1.0,2.0,.487,0.5,1.2,.375,.595,0.4,0.4,1.000,0.5,1.9,2.3,1.0,0.3,0.2,0.6,1.2,4.2,2023
340,322,Monte Morris,PG,27,WAS,38,38,28.6,3.9,8.5,.466,1.3,3.3,.386,2.7,5.1,.518,.542,1.1,1.3,.784,0.4,3.0,3.3,5.4,0.8,0.2,1.0,1.5,10.2,2023
341,323,Trey Murphy III,SF,22,NOP,41,31,28.7,4.3,9.0,.482,2.2,5.5,.403,2.1,3.5,.608,.606,1.8,2.0,.925,0.9,2.9,3.8,1.3,1.0,0.5,0.8,2.1,12.7,2023
342,324,Dejounte Murray,SG,26,ATL,39,39,36.5,8.1,18.0,.450,1.9,5.5,.355,6.2,12.5,.491,.504,2.2,2.7,.837,0.7,4.8,5.5,6.1,1.7,0.3,2.4,1.4,20.4,2023
343,325,Jamal Murray,PG,25,DEN,36,36,32.0,6.8,15.3,.446,2.2,5.6,.384,4.6,9.6,.483,.517,2.8,3.5,.808,0.8,3.3,4.0,5.4,0.9,0.2,2.1,1.4,18.6,2023
344,326,Keegan Murray,SF,22,SAC,40,38,28.6,4.2,9.8,.433,2.4,5.9,.404,1.9,3.9,.477,.555,0.9,1.2,.771,1.0,2.9,3.8,1.0,0.9,0.6,1.0,2.1,11.8,2023
345,327,Mike Muscala,C,31,OKC,33,3,14.5,2.0,4.6,.428,1.2,3.2,.374,0.8,1.4,.556,.559,0.7,0.9,.800,0.5,2.6,3.1,0.9,0.3,0.5,0.4,1.8,5.9,2023
346,328,Svi Mykhailiuk,SF,25,NYK,12,0,3.3,0.5,1.0,.500,0.5,0.8,.600,0.0,0.2,.000,.750,0.3,0.4,.600,0.0,0.6,0.6,0.1,0.1,0.0,0.2,0.1,1.8,2023
347,329,Larry Nance Jr.,PF,30,NOP,34,0,22.4,3.3,5.4,.617,0.3,0.8,.385,3.0,4.6,.656,.645,0.8,1.1,.692,1.6,3.9,5.6,1.8,0.9,0.8,0.8,2.3,7.7,2023
348,330,Andrew Nembhard,SG,23,IND,40,31,27.5,3.3,7.4,.443,1.3,3.5,.376,2.0,3.9,.503,.532,0.5,0.6,.909,0.5,2.6,3.1,3.9,1.0,0.2,1.7,2.7,8.4,2023
349,331,Aaron Nesmith,SF,23,IND,38,26,23.4,3.3,7.8,.424,1.4,4.1,.340,1.9,3.7,.518,.513,1.5,1.7,.891,0.8,3.0,3.8,1.3,0.8,0.4,0.9,3.3,9.5,2023
350,332,Raul Neto,PG,30,CLE,28,0,10.5,1.2,2.3,.524,0.3,1.0,.333,0.9,1.3,.667,.595,0.5,0.6,.875,0.2,0.7,0.9,1.4,0.4,0.0,0.3,0.9,3.2,2023
351,333,Georges Niang,PF,29,PHI,41,0,19.8,3.1,7.1,.443,2.3,5.6,.408,0.9,1.5,.571,.603,0.6,0.7,.926,0.3,2.0,2.3,1.1,0.4,0.2,0.8,2.0,9.2,2023
352,334,Daishen Nix,PG,20,HOU,35,1,14.0,1.1,3.1,.355,0.7,2.1,.329,0.4,1.0,.412,.467,0.5,0.7,.680,0.3,1.2,1.5,2.4,0.7,0.1,1.4,0.9,3.3,2023
353,335,Zeke Nnaji,PF,22,DEN,33,2,11.7,1.9,3.2,.615,0.2,0.7,.217,1.8,2.5,.728,.639,0.7,0.9,.767,1.1,0.7,1.8,0.2,0.2,0.3,0.5,1.7,4.7,2023
354,336,Nerlens Noel,C,28,DET,12,3,11.8,1.0,2.3,.444,0.1,0.2,.500,0.9,2.1,.440,.463,0.3,0.5,.667,0.6,2.3,2.8,0.6,1.1,0.8,0.5,1.8,2.4,2023
355,337,Jaylen Nowell,SG,23,MIN,45,1,20.2,4.5,10.3,.441,1.1,3.8,.283,3.4,6.4,.534,.494,1.3,1.6,.781,0.6,2.1,2.7,2.2,0.7,0.1,1.0,1.6,11.4,2023
356,338,Frank Ntilikina,PG,24,DAL,26,2,13.5,1.1,3.0,.364,0.4,1.7,.227,0.7,1.3,.545,.429,0.4,0.6,.667,0.2,1.3,1.5,1.3,0.3,0.1,0.7,1.5,2.9,2023
357,339,Kendrick Nunn,SG,27,LAL,36,2,13.2,2.5,6.3,.399,0.9,3.0,.312,1.6,3.3,.479,.474,0.4,0.5,.842,0.1,1.1,1.2,0.9,0.3,0.0,0.8,0.8,6.4,2023
358,340,Jusuf Nurkić,C,28,POR,38,38,28.5,5.5,10.2,.535,0.9,2.2,.402,4.6,8.1,.570,.577,2.9,4.2,.689,2.4,7.6,10.0,3.0,0.9,0.9,2.6,3.7,14.7,2023
359,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
360,341,Jordan Nwora,SF,24,MIL,31,3,16.6,2.2,5.6,.387,1.2,2.9,.416,1.0,2.7,.357,.494,1.0,1.2,.842,0.7,2.5,3.2,1.0,0.3,0.1,1.0,0.8,6.5,2023
361,342,Royce O'Neale,SF,29,BRK,39,39,35.2,3.3,8.2,.402,2.3,5.6,.408,1.0,2.6,.388,.540,0.5,0.8,.677,0.7,4.3,5.1,4.2,0.9,0.8,1.7,3.1,9.4,2023
362,343,Chuma Okeke,SF,24,ORL,18,7,21.8,1.8,4.8,.368,1.0,3.3,.300,0.8,1.5,.519,.471,0.9,1.2,.762,1.2,3.1,4.2,1.4,0.6,0.5,0.5,1.9,5.4,2023
363,344,Josh Okogie,SG,24,PHO,39,1,12.5,1.6,3.9,.411,0.5,1.6,.281,1.1,2.2,.506,.470,1.1,1.6,.721,1.4,1.6,2.9,1.1,0.6,0.4,0.8,1.4,4.8,2023
364,345,Onyeka Okongwu,C,22,ATL,43,16,24.9,3.9,6.2,.619,0.0,0.1,.000,3.9,6.2,.626,.619,1.6,2.1,.736,2.7,4.8,7.6,1.0,0.7,1.2,1.0,3.2,9.3,2023
365,346,Isaac Okoro,SF,22,CLE,45,15,19.3,2.0,4.3,.458,0.6,2.0,.315,1.3,2.3,.583,.531,1.0,1.3,.759,0.6,1.9,2.5,0.8,0.7,0.4,0.6,1.9,5.5,2023
366,347,KZ Okpala,PF,23,SAC,30,3,7.9,0.5,1.1,.471,0.2,0.6,.389,0.3,0.5,.563,.574,0.2,0.2,1.000,0.2,0.9,1.1,0.4,0.2,0.2,0.2,1.3,1.5,2023
367,348,Victor Oladipo,SG,30,MIA,19,1,28.8,4.1,9.9,.407,1.6,5.0,.316,2.5,4.9,.500,.487,2.1,2.7,.784,0.5,2.9,3.4,4.0,1.7,0.2,1.8,2.6,11.8,2023
