,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,W,L,W/L%,GB,PS/G,PA/G,SRS
326,Jaden Hardy,SG,20,DAL,18,0,11.1,2.3,5.5,0.414,0.6,2.3,0.268,1.7,3.2,0.517,0.47,1.3,1.6,0.828,0.1,1.2,1.2,0.7,0.2,0.1,0.6,1.4,6.5,2023,24,21,0.533,7.0,112.7,112.3,0.48
327,Maxi Kleber,C,31,DAL,22,0,25.6,2.3,4.7,0.49,1.1,3.0,0.369,1.2,1.8,0.692,0.606,0.5,0.6,0.786,0.9,2.7,3.5,1.0,0.3,1.0,0.6,2.2,6.2,2023,24,21,0.533,7.0,112.7,112.3,0.48
328,A.J. Lawson,SG,22,DAL,7,0,2.9,0.4,1.3,0.333,0.3,0.9,0.333,0.1,0.4,0.333,0.444,0.1,0.1,1.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.1,1.3,2023,24,21,0.533,7.0,112.7,112.3,0.48
329,JaVale McGee,C,35,DAL,28,7,8.0,1.7,2.8,0.615,0.0,0.1,0.25,1.7,2.6,0.635,0.622,0.5,0.9,0.542,0.6,1.8,2.5,0.3,0.1,0.6,0.9,1.2,3.9,2023,24,21,0.533,7.0,112.7,112.3,0.48
330,Frank Ntilikina,PG,24,DAL,26,2,13.5,1.1,3.0,0.364,0.4,1.7,0.227,0.7,1.3,0.545,0.429,0.4,0.6,0.667,0.2,1.3,1.5,1.3,0.3,0.1,0.7,1.5,2.9,2023,24,21,0.533,7.0,112.7,112.3,0.48
331,Theo Pinson,SG,27,DAL,23,0,5.5,0.5,1.5,0.353,0.4,1.0,0.375,0.1,0.4,0.3,0.485,0.3,0.4,0.889,0.1,1.0,1.2,0.6,0.1,0.0,0.2,0.4,1.8,2023,24,21,0.533,7.0,112.7,112.3,0.48
332,Dwight Powell,C,31,DAL,40,28,17.6,2.3,3.1,0.732,0.0,0.1,0.0,2.3,3.0,0.744,0.732,1.6,2.2,0.705,1.9,1.9,3.8,0.6,0.5,0.4,0.8,2.8,6.1,2023,24,21,0.533,7.0,112.7,112.3,0.48
333,Kemba Walker,PG,32,DAL,9,1,16.0,2.7,6.3,0.421,0.8,3.1,0.25,1.9,3.2,0.586,0.482,1.9,2.3,0.81,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8.0,2023,24,21,0.533,7.0,112.7,112.3,0.48
334,Christian Wood,C,27,DAL,41,16,28.9,6.7,12.4,0.535,1.8,4.6,0.383,4.9,7.9,0.624,0.606,3.2,4.3,0.736,1.4,7.0,8.4,1.6,0.5,1.2,2.1,2.8,18.3,2023,24,21,0.533,7.0,112.7,112.3,0.48
335,McKinley Wright IV,PG,24,DAL,14,0,9.6,0.7,1.7,0.417,0.1,0.4,0.167,0.6,1.3,0.5,0.438,0.4,0.6,0.625,0.3,0.9,1.1,1.4,0.5,0.2,0.6,1.1,1.9,2023,24,21,0.533,7.0,112.7,112.3,0.48
336,Patrick Beverley,PG,34,LAL,35,35,26.4,2.0,5.1,0.394,1.1,3.3,0.342,0.9,1.8,0.492,0.506,0.8,0.9,0.818,0.6,2.9,3.5,2.5,0.8,0.6,1.0,2.8,6.0,2023,20,24,0.455,5.0,117.0,118.1,-1.36
338,Troy Brown Jr.,SF,23,LAL,38,20,23.4,2.5,5.8,0.438,1.2,3.2,0.361,1.4,2.6,0.536,0.539,0.5,0.5,1.0,0.7,3.1,3.9,0.7,0.8,0.2,0.8,1.4,6.7,2023,20,24,0.455,5.0,117.0,118.1,-1.36
339,Thomas Bryant,C,25,LAL,30,18,22.0,5.1,7.9,0.644,0.5,1.1,0.412,4.6,6.7,0.683,0.674,2.0,2.7,0.744,1.8,5.4,7.1,0.8,0.4,0.6,0.8,2.1,12.6,2023,20,24,0.455,5.0,117.0,118.1,-1.36
340,Max Christie,SG,19,LAL,26,2,13.8,1.3,3.1,0.413,0.7,1.7,0.422,0.5,1.3,0.4,0.531,0.2,0.2,0.833,0.3,1.9,2.2,0.5,0.1,0.2,0.3,0.8,3.5,2023,20,24,0.455,5.0,117.0,118.1,-1.36
341,Anthony Davis,C,29,LAL,25,25,33.4,10.2,17.2,0.594,0.4,1.2,0.29,9.8,15.9,0.618,0.605,6.6,8.0,0.826,3.1,9.0,12.1,2.6,1.3,2.1,1.9,2.7,27.4,2023,20,24,0.455,5.0,117.0,118.1,-1.36
342,Wenyen Gabriel,PF,25,LAL,35,2,15.8,2.7,4.3,0.627,0.3,0.7,0.391,2.4,3.6,0.669,0.657,0.9,1.3,0.717,1.7,2.4,4.1,0.5,0.4,0.7,0.7,2.3,6.6,2023,20,24,0.455,5.0,117.0,118.1,-1.36
343,LeBron James,PF,38,LAL,34,34,36.2,11.6,22.6,0.511,2.0,6.7,0.293,9.6,15.9,0.604,0.555,4.6,6.1,0.758,1.3,7.1,8.4,7.0,1.0,0.5,3.2,1.6,29.7,2023,20,24,0.455,5.0,117.0,118.1,-1.36
344,Damian Jones,C,27,LAL,19,1,8.9,1.1,1.9,0.556,0.0,0.2,0.0,1.1,1.7,0.606,0.556,0.8,1.1,0.75,0.9,1.9,2.8,0.2,0.2,0.6,0.4,0.8,2.9,2023,20,24,0.455,5.0,117.0,118.1,-1.36
345,Kendrick Nunn,SG,27,LAL,36,2,13.2,2.5,6.3,0.399,0.9,3.0,0.312,1.6,3.3,0.479,0.474,0.4,0.5,0.842,0.1,1.1,1.2,0.9,0.3,0.0,0.8,0.8,6.4,2023,20,24,0.455,5.0,117.0,118.1,-1.36
346,Scotty Pippen Jr.,PG,22,LAL,5,0,5.2,0.6,2.0,0.3,0.2,0.6,0.333,0.4,1.4,0.286,0.35,0.8,1.4,0.571,0.4,0.4,0.8,0.2,0.4,0.2,0.4,0.6,2.2,2023,20,24,0.455,5.0,117.0,118.1,-1.36
347,Austin Reaves,SG,24,LAL,36,12,28.9,3.4,7.1,0.488,1.3,3.5,0.36,2.2,3.6,0.612,0.577,2.6,2.9,0.896,0.6,2.4,3.1,2.2,0.6,0.4,1.4,1.7,10.8,2023,20,24,0.455,5.0,117.0,118.1,-1.36
348,Matt Ryan,SF,25,LAL,12,0,10.8,1.3,4.1,0.306,1.1,2.9,0.371,0.2,1.2,0.143,0.439,0.3,0.4,0.8,0.2,1.0,1.2,0.3,0.2,0.0,0.3,1.2,3.9,2023,20,24,0.455,5.0,117.0,118.1,-1.36
349,Dennis Schröder,PG,29,LAL,30,27,29.7,4.0,9.4,0.431,1.3,3.5,0.362,2.8,5.9,0.472,0.498,2.9,3.3,0.878,0.2,2.1,2.2,3.7,0.6,0.0,1.6,2.1,12.2,2023,20,24,0.455,5.0,117.0,118.1,-1.36
351,Juan Toscano-Anderson,SF,29,LAL,24,7,13.3,1.2,2.3,0.518,0.2,0.8,0.222,1.0,1.6,0.658,0.554,0.3,0.5,0.727,0.5,1.8,2.3,0.9,0.4,0.3,0.6,1.7,2.9,2023,20,24,0.455,5.0,117.0,118.1,-1.36
352,Lonnie Walker IV,SG,24,LAL,32,32,29.8,5.3,11.7,0.455,2.1,5.4,0.384,3.3,6.3,0.515,0.543,2.0,2.3,0.875,0.3,2.0,2.3,1.4,0.8,0.3,1.0,1.7,14.7,2023,20,24,0.455,5.0,117.0,118.1,-1.36
353,Russell Westbrook,PG,34,LAL,41,3,28.7,5.8,13.8,0.421,1.2,4.0,0.291,4.6,9.8,0.475,0.464,2.9,4.3,0.678,1.1,5.5,6.6,7.8,1.0,0.5,3.6,2.3,15.7,2023,20,24,0.455,5.0,117.0,118.1,-1.36
377,Goga Bitadze,C,23,IND,19,0,9.9,1.4,2.6,0.551,0.2,0.7,0.286,1.2,1.8,0.657,0.592,0.5,0.9,0.5,1.1,1.2,2.3,0.9,0.4,0.5,0.5,1.8,3.5,2023,23,22,0.511,5.5,115.5,116.3,-0.64
378,Oshae Brissett,SF,24,IND,39,0,16.4,1.9,4.5,0.423,0.8,2.4,0.34,1.1,2.1,0.519,0.514,1.4,2.1,0.683,0.9,2.6,3.5,0.5,0.6,0.2,0.5,1.3,6.1,2023,23,22,0.511,5.5,115.5,116.3,-0.64
379,Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,0.571,0.0,0.2,0.0,0.7,1.0,0.667,0.571,0.2,0.3,0.5,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,2023,23,22,0.511,5.5,115.5,116.3,-0.64
380,Chris Duarte,SF,25,IND,24,6,17.5,2.3,6.9,0.331,1.1,3.7,0.292,1.2,3.2,0.377,0.41,1.3,1.5,0.857,0.2,1.8,2.0,1.2,0.1,0.3,0.8,1.3,6.9,2023,23,22,0.511,5.5,115.5,116.3,-0.64
381,Tyrese Haliburton,PG,22,IND,40,40,33.4,7.3,15.1,0.48,3.0,7.4,0.399,4.3,7.7,0.558,0.578,2.8,3.1,0.88,0.7,3.3,4.0,10.2,1.8,0.4,2.6,1.1,20.2,2023,23,22,0.511,5.5,115.5,116.3,-0.64
382,Buddy Hield,SF,30,IND,45,45,32.0,6.4,14.2,0.45,3.9,9.1,0.426,2.5,5.1,0.493,0.587,1.3,1.4,0.877,0.8,4.1,4.9,2.7,1.0,0.3,1.8,2.0,18.0,2023,23,22,0.511,5.5,115.5,116.3,-0.64
383,Isaiah Jackson,C,21,IND,34,5,15.9,2.7,4.9,0.552,0.0,0.2,0.125,2.6,4.6,0.573,0.555,1.6,2.4,0.691,1.5,2.6,4.1,0.9,0.4,1.4,1.0,2.4,7.0,2023,23,22,0.511,5.5,115.5,116.3,-0.64
385,Bennedict Mathurin,SF,20,IND,45,5,28.1,5.4,12.8,0.422,1.5,4.5,0.33,3.9,8.3,0.472,0.48,4.9,6.1,0.813,1.1,2.9,4.0,1.4,0.6,0.1,1.9,2.0,17.2,2023,23,22,0.511,5.5,115.5,116.3,-0.64
386,T.J. McConnell,PG,30,IND,42,0,17.9,2.8,5.7,0.492,0.3,0.6,0.407,2.5,5.1,0.502,0.515,0.7,0.8,0.906,0.6,2.0,2.7,4.6,1.1,0.1,1.5,1.2,6.6,2023,23,22,0.511,5.5,115.5,116.3,-0.64
387,Andrew Nembhard,SG,23,IND,40,31,27.5,3.3,7.4,0.443,1.3,3.5,0.376,2.0,3.9,0.503,0.532,0.5,0.6,0.909,0.5,2.6,3.1,3.9,1.0,0.2,1.7,2.7,8.4,2023,23,22,0.511,5.5,115.5,116.3,-0.64
388,Aaron Nesmith,SF,23,IND,38,26,23.4,3.3,7.8,0.424,1.4,4.1,0.34,1.9,3.7,0.518,0.513,1.5,1.7,0.891,0.8,3.0,3.8,1.3,0.8,0.4,0.9,3.3,9.5,2023,23,22,0.511,5.5,115.5,116.3,-0.64
389,Trevelin Queen,SG,25,IND,3,0,9.7,0.3,2.7,0.125,0.0,2.0,0.0,0.3,0.7,0.5,0.125,1.0,1.0,1.0,0.7,1.0,1.7,1.0,0.3,0.7,1.0,0.3,1.7,2023,23,22,0.511,5.5,115.5,116.3,-0.64
390,Jalen Smith,PF,22,IND,43,28,19.9,3.7,7.9,0.46,0.9,3.2,0.273,2.8,4.7,0.589,0.516,1.7,2.1,0.772,1.8,4.1,6.0,1.1,0.4,0.9,1.2,2.3,9.8,2023,23,22,0.511,5.5,115.5,116.3,-0.64
391,Terry Taylor,SG,23,IND,20,2,7.8,0.9,2.1,0.415,0.2,0.7,0.231,0.7,1.4,0.5,0.451,0.2,0.3,0.8,0.7,0.8,1.4,0.4,0.1,0.2,0.3,0.8,2.1,2023,23,22,0.511,5.5,115.5,116.3,-0.64
392,Myles Turner,C,26,IND,36,36,30.0,6.2,11.2,0.556,1.5,3.9,0.39,4.7,7.3,0.645,0.624,3.4,4.3,0.788,1.4,6.5,7.9,1.5,0.6,2.3,1.6,3.3,17.4,2023,23,22,0.511,5.5,115.5,116.3,-0.64
393,Bogdan Bogdanović,SG,30,ATL,20,3,31.0,5.8,13.9,0.419,2.9,7.7,0.37,3.0,6.2,0.48,0.522,1.2,1.4,0.821,0.3,3.5,3.7,2.8,0.9,0.3,1.3,1.4,15.6,2023,22,22,0.5,1.5,115.1,115.8,-1.02
395,John Collins,PF,25,ATL,36,36,31.1,5.1,10.3,0.501,0.7,3.2,0.228,4.4,7.1,0.624,0.537,2.1,2.6,0.8,1.2,6.7,7.8,1.2,0.7,1.3,1.3,3.3,13.1,2023,22,22,0.5,1.5,115.1,115.8,-1.02
396,Jarrett Culver,SG,23,ATL,10,1,13.7,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.516,0.407,0.9,1.3,0.692,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,2023,22,22,0.5,1.5,115.1,115.8,-1.02
397,Trent Forrest,PG,24,ATL,15,3,14.1,1.5,3.1,0.478,0.0,0.1,0.0,1.5,2.9,0.5,0.478,0.1,0.2,0.667,0.3,1.4,1.7,1.9,0.4,0.1,0.5,0.9,3.1,2023,22,22,0.5,1.5,115.1,115.8,-1.02
398,AJ Griffin,SF,19,ATL,40,10,20.8,4.0,8.3,0.482,1.6,4.3,0.376,2.4,4.0,0.594,0.579,0.4,0.4,0.875,0.6,1.7,2.2,1.0,0.8,0.2,0.7,1.2,9.9,2023,22,22,0.5,1.5,115.1,115.8,-1.02
399,Aaron Holiday,PG,26,ATL,40,4,15.9,1.7,4.0,0.416,0.6,1.5,0.4,1.1,2.5,0.426,0.491,0.6,0.7,0.846,0.5,1.0,1.4,1.5,0.6,0.2,0.6,1.6,4.5,2023,22,22,0.5,1.5,115.1,115.8,-1.02
401,De'Andre Hunter,SF,25,ATL,36,36,31.9,5.6,12.3,0.454,1.6,4.3,0.374,3.9,7.9,0.497,0.519,2.9,3.5,0.824,0.7,3.7,4.4,1.3,0.4,0.2,1.3,3.0,15.6,2023,22,22,0.5,1.5,115.1,115.8,-1.02
402,Jalen Johnson,SF,21,ATL,41,6,15.2,2.1,4.4,0.478,0.4,1.6,0.273,1.7,2.8,0.596,0.528,0.9,1.2,0.714,0.7,3.0,3.6,1.0,0.5,0.5,0.5,1.6,5.5,2023,22,22,0.5,1.5,115.1,115.8,-1.02
403,Frank Kaminsky,C,29,ATL,22,0,7.4,1.0,1.8,0.575,0.5,1.0,0.5,0.5,0.8,0.667,0.713,0.5,0.5,0.833,0.1,1.5,1.6,0.9,0.1,0.0,0.3,0.9,3.0,2023,22,22,0.5,1.5,115.1,115.8,-1.02
404,Vit Krejci,PG,22,ATL,17,0,6.3,0.6,1.5,0.385,0.3,1.0,0.294,0.3,0.5,0.556,0.481,0.1,0.1,0.5,0.1,0.5,0.6,0.6,0.1,0.1,0.2,0.6,1.5,2023,22,22,0.5,1.5,115.1,115.8,-1.02
405,Tyrese Martin,SG,23,ATL,11,0,3.8,0.5,1.5,0.375,0.1,0.5,0.2,0.5,1.0,0.455,0.406,0.2,0.2,1.0,0.2,0.4,0.5,0.0,0.1,0.0,0.1,0.2,1.4,2023,22,22,0.5,1.5,115.1,115.8,-1.02
406,Dejounte Murray,SG,26,ATL,39,39,36.5,8.1,18.0,0.45,1.9,5.5,0.355,6.2,12.5,0.491,0.504,2.2,2.7,0.837,0.7,4.8,5.5,6.1,1.7,0.3,2.4,1.4,20.4,2023,22,22,0.5,1.5,115.1,115.8,-1.02
407,Onyeka Okongwu,C,22,ATL,43,16,24.9,3.9,6.2,0.619,0.0,0.1,0.0,3.9,6.2,0.626,0.619,1.6,2.1,0.736,2.7,4.8,7.6,1.0,0.7,1.2,1.0,3.2,9.3,2023,22,22,0.5,1.5,115.1,115.8,-1.02
408,Trae Young,PG,24,ATL,39,39,35.7,8.6,20.3,0.424,2.3,7.1,0.33,6.3,13.3,0.474,0.481,7.8,8.8,0.892,0.7,2.2,2.8,9.8,0.9,0.2,4.0,1.6,27.4,2023,22,22,0.5,1.5,115.1,115.8,-1.02
409,Tony Bradley,C,25,CHI,9,0,2.8,0.4,0.8,0.571,0.2,0.4,0.5,0.2,0.3,0.667,0.714,0.2,0.2,1.0,0.1,1.0,1.1,0.1,0.1,0.0,0.1,0.1,1.3,2023,20,24,0.455,8.0,114.5,115.2,0.27
410,Alex Caruso,PG,28,CHI,38,17,24.5,1.9,4.4,0.435,0.9,2.3,0.395,1.0,2.2,0.476,0.536,0.9,1.2,0.75,0.5,2.4,2.9,3.5,1.6,0.7,1.3,2.4,5.6,2023,20,24,0.455,8.0,114.5,115.2,0.27
411,DeMar DeRozan,SF,33,CHI,41,41,36.0,9.3,18.4,0.506,0.4,1.4,0.271,8.9,16.9,0.526,0.517,7.1,8.0,0.887,0.5,4.5,5.0,4.9,1.0,0.5,2.0,2.7,26.1,2023,20,24,0.455,8.0,114.5,115.2,0.27
412,Ayo Dosunmu,SG,23,CHI,42,34,27.7,3.9,7.7,0.5,0.9,2.7,0.327,3.0,5.0,0.592,0.557,0.9,1.2,0.796,0.7,2.4,3.1,2.7,0.8,0.3,1.3,2.5,9.5,2023,20,24,0.455,8.0,114.5,115.2,0.27
413,Goran Dragić,PG,36,CHI,41,0,16.4,2.9,6.6,0.434,1.0,2.7,0.366,1.9,3.9,0.481,0.509,0.6,0.9,0.639,0.3,1.1,1.4,2.8,0.2,0.1,1.2,1.4,7.3,2023,20,24,0.455,8.0,114.5,115.2,0.27
414,Andre Drummond,C,29,CHI,34,0,13.5,2.6,4.4,0.601,0.0,0.1,0.0,2.6,4.3,0.61,0.601,0.9,1.7,0.561,2.2,4.6,6.8,0.7,0.6,0.3,1.1,2.0,6.2,2023,20,24,0.455,8.0,114.5,115.2,0.27
415,Javonte Green,SG,29,CHI,28,1,16.0,2.2,3.7,0.587,0.5,1.2,0.382,1.7,2.5,0.686,0.649,1.0,1.5,0.674,0.9,2.0,2.9,0.8,0.8,0.7,0.7,1.7,5.9,2023,20,24,0.455,8.0,114.5,115.2,0.27
417,Derrick Jones Jr.,SF,25,CHI,33,0,15.1,2.0,3.9,0.519,0.4,1.2,0.35,1.6,2.7,0.596,0.574,1.2,1.5,0.804,0.8,1.6,2.5,0.7,0.5,0.7,0.5,1.5,5.7,2023,20,24,0.455,8.0,114.5,115.2,0.27
418,Zach LaVine,SG,27,CHI,40,40,35.7,8.4,18.2,0.462,3.0,7.9,0.385,5.4,10.3,0.521,0.545,4.1,4.9,0.841,0.6,4.0,4.6,4.3,1.0,0.2,2.5,2.3,23.9,2023,20,24,0.455,8.0,114.5,115.2,0.27
420,Dalen Terry,SG,20,CHI,16,0,3.4,0.3,0.9,0.357,0.1,0.3,0.25,0.3,0.6,0.4,0.393,0.2,0.3,0.75,0.0,0.3,0.3,0.4,0.1,0.1,0.3,0.3,0.9,2023,20,24,0.455,8.0,114.5,115.2,0.27
421,Nikola Vučević,C,32,CHI,44,44,33.6,7.0,13.4,0.524,1.8,4.6,0.383,5.3,8.8,0.596,0.589,1.7,2.0,0.833,2.1,8.8,10.9,3.1,0.7,0.9,1.8,2.0,17.5,2023,20,24,0.455,8.0,114.5,115.2,0.27
422,Coby White,SG,22,CHI,36,0,21.2,2.9,6.9,0.427,1.6,4.5,0.366,1.3,2.4,0.54,0.546,0.8,1.1,0.789,0.2,2.5,2.6,1.9,0.8,0.1,0.8,1.7,8.4,2023,20,24,0.455,8.0,114.5,115.2,0.27
423,Patrick Williams,PF,21,CHI,44,43,29.1,3.7,8.2,0.457,1.5,3.5,0.417,2.3,4.6,0.488,0.547,1.1,1.2,0.889,1.0,3.1,4.1,1.3,0.7,0.8,1.3,2.1,10.0,2023,20,24,0.455,8.0,114.5,115.2,0.27
424,Christian Braun,SG,21,DEN,39,1,13.5,1.3,3.0,0.444,0.3,1.0,0.308,1.0,2.0,0.513,0.496,0.3,0.6,0.565,0.6,1.3,1.9,0.5,0.3,0.2,0.4,1.0,3.3,2023,30,13,0.698,0.0,117.0,113.1,3.54
425,Bruce Brown,SG,26,DEN,42,19,28.6,4.3,8.7,0.493,1.3,3.3,0.393,3.0,5.4,0.555,0.568,1.0,1.3,0.811,0.8,3.3,4.1,3.8,1.0,0.7,1.6,2.3,11.0,2023,30,13,0.698,0.0,117.0,113.1,3.54
426,Kentavious Caldwell-Pope,SG,29,DEN,42,42,31.4,4.1,8.7,0.477,2.1,4.5,0.476,2.0,4.2,0.477,0.6,1.2,1.5,0.825,0.5,2.6,3.0,2.2,1.2,0.3,1.1,2.0,11.7,2023,30,13,0.698,0.0,117.0,113.1,3.54
427,Vlatko Čančar,PF,25,DEN,31,0,14.0,1.9,3.6,0.513,0.9,1.9,0.483,0.9,1.7,0.547,0.642,0.4,0.4,0.923,0.5,1.6,2.1,1.2,0.4,0.2,0.6,1.7,5.1,2023,30,13,0.698,0.0,117.0,113.1,3.54
428,Aaron Gordon,PF,27,DEN,38,38,29.8,6.4,10.7,0.593,1.0,2.5,0.385,5.4,8.2,0.657,0.638,3.0,4.8,0.632,2.4,4.4,6.8,2.4,0.8,0.8,1.6,1.8,16.7,2023,30,13,0.698,0.0,117.0,113.1,3.54
429,Jeff Green,PF,36,DEN,24,3,19.3,2.8,5.4,0.527,0.3,1.3,0.267,2.5,4.1,0.606,0.558,1.5,2.1,0.686,0.9,1.9,2.8,1.1,0.4,0.3,1.0,1.8,7.5,2023,30,13,0.698,0.0,117.0,113.1,3.54
430,Bones Hyland,PG,22,DEN,35,1,20.4,4.5,11.0,0.411,2.5,6.1,0.404,2.1,4.9,0.421,0.523,1.7,2.0,0.843,0.3,2.0,2.3,3.2,0.7,0.3,1.7,1.7,13.2,2023,30,13,0.698,0.0,117.0,113.1,3.54
431,Nikola Jokić,C,27,DEN,39,39,33.4,9.4,15.1,0.62,0.9,2.4,0.37,8.5,12.7,0.666,0.649,5.1,6.3,0.812,2.0,8.9,10.9,9.8,1.4,0.6,3.4,2.8,24.7,2023,30,13,0.698,0.0,117.0,113.1,3.54
432,DeAndre Jordan,C,34,DEN,30,4,14.4,2.0,2.6,0.772,0.0,0.0,1.0,2.0,2.6,0.769,0.778,0.6,1.3,0.447,1.2,3.8,5.1,0.8,0.2,0.6,1.1,1.7,4.7,2023,30,13,0.698,0.0,117.0,113.1,3.54
433,Jamal Murray,PG,25,DEN,36,36,32.0,6.8,15.3,0.446,2.2,5.6,0.384,4.6,9.6,0.483,0.517,2.8,3.5,0.808,0.8,3.3,4.0,5.4,0.9,0.2,2.1,1.4,18.6,2023,30,13,0.698,0.0,117.0,113.1,3.54
434,Zeke Nnaji,PF,22,DEN,33,2,11.7,1.9,3.2,0.615,0.2,0.7,0.217,1.8,2.5,0.728,0.639,0.7,0.9,0.767,1.1,0.7,1.8,0.2,0.2,0.3,0.5,1.7,4.7,2023,30,13,0.698,0.0,117.0,113.1,3.54
435,Michael Porter Jr.,SF,24,DEN,29,29,29.0,6.0,12.8,0.47,2.7,6.8,0.403,3.3,6.0,0.546,0.577,1.5,2.0,0.759,1.1,4.6,5.7,1.2,0.6,0.5,1.2,2.4,16.2,2023,30,13,0.698,0.0,117.0,113.1,3.54
436,Davon Reed,SG,27,DEN,28,1,9.1,0.7,2.2,0.311,0.5,1.3,0.351,0.2,0.9,0.25,0.418,0.5,0.6,0.722,0.3,1.2,1.5,0.6,0.3,0.1,0.5,1.0,2.3,2023,30,13,0.698,0.0,117.0,113.1,3.54
437,Ish Smith,PG,34,DEN,20,0,8.2,1.1,2.7,0.396,0.1,0.3,0.333,1.0,2.4,0.404,0.415,0.1,0.1,0.5,0.1,0.8,0.8,1.7,0.3,0.3,0.9,0.6,2.3,2023,30,13,0.698,0.0,117.0,113.1,3.54
440,Malcolm Brogdon,PG,30,BOS,39,0,23.8,4.9,10.1,0.485,1.9,4.2,0.454,3.0,5.9,0.507,0.579,2.5,2.8,0.89,0.7,3.4,4.1,3.7,0.6,0.2,1.5,1.4,14.1,2023,33,12,0.733,0.0,118.8,112.3,6.08
441,Jaylen Brown,SF,26,BOS,40,40,35.5,10.2,20.4,0.498,2.5,7.5,0.329,7.7,13.0,0.595,0.558,4.4,5.5,0.795,1.2,5.9,7.1,3.2,1.1,0.5,3.1,2.8,27.2,2023,33,12,0.733,0.0,118.8,112.3,6.08
443,Blake Griffin,C,33,BOS,17,8,14.4,1.7,3.5,0.492,0.5,1.5,0.32,1.2,2.0,0.618,0.559,0.9,1.2,0.714,0.9,2.8,3.6,1.2,0.3,0.1,0.4,1.9,4.8,2023,33,12,0.733,0.0,118.8,112.3,6.08
444,Sam Hauser,PF,25,BOS,45,0,14.6,2.0,4.4,0.44,1.5,3.8,0.396,0.5,0.7,0.677,0.608,0.2,0.3,0.615,0.4,1.9,2.4,0.7,0.3,0.2,0.3,1.1,5.6,2023,33,12,0.733,0.0,118.8,112.3,6.08
445,Al Horford,C,36,BOS,35,35,30.5,3.6,7.4,0.488,2.1,4.7,0.442,1.5,2.7,0.57,0.63,0.2,0.3,0.6,1.1,5.1,6.2,2.7,0.5,0.9,0.6,1.8,9.5,2023,33,12,0.733,0.0,118.8,112.3,6.08
446,Justin Jackson,SF,27,BOS,19,0,4.4,0.3,1.2,0.227,0.2,0.8,0.25,0.1,0.3,0.167,0.318,0.1,0.1,0.5,0.1,0.4,0.5,0.4,0.2,0.2,0.1,0.3,0.8,2023,33,12,0.733,0.0,118.8,112.3,6.08
448,Luke Kornet,C,27,BOS,38,0,11.8,1.7,2.4,0.692,0.1,0.2,0.429,1.6,2.2,0.714,0.709,0.4,0.5,0.85,1.3,1.8,3.2,0.7,0.2,0.8,0.4,1.3,3.8,2023,33,12,0.733,0.0,118.8,112.3,6.08
449,Payton Pritchard,PG,25,BOS,30,1,10.7,1.7,4.3,0.406,0.8,2.4,0.329,0.9,1.8,0.509,0.5,0.3,0.4,0.667,0.5,0.8,1.4,0.9,0.3,0.0,0.7,0.5,4.5,2023,33,12,0.733,0.0,118.8,112.3,6.08
450,Marcus Smart,PG,28,BOS,39,39,32.7,4.0,9.5,0.419,1.8,5.5,0.329,2.2,4.1,0.541,0.513,1.4,1.8,0.775,0.7,2.7,3.4,7.3,1.3,0.4,2.3,2.7,11.2,2023,33,12,0.733,0.0,118.8,112.3,6.08
451,Jayson Tatum,PF,24,BOS,43,43,36.8,10.2,21.6,0.471,3.3,9.4,0.352,6.9,12.2,0.563,0.548,7.4,8.6,0.867,1.1,7.2,8.3,4.3,1.0,0.8,2.6,2.1,31.1,2023,33,12,0.733,0.0,118.8,112.3,6.08
452,Noah Vonleh,C,27,BOS,23,1,7.4,0.5,1.0,0.458,0.0,0.2,0.25,0.4,0.9,0.5,0.479,0.1,0.1,1.0,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1,2023,33,12,0.733,0.0,118.8,112.3,6.08
453,Derrick White,SG,28,BOS,45,38,26.2,3.4,7.6,0.45,1.6,4.1,0.378,1.8,3.4,0.535,0.553,1.7,2.0,0.865,0.6,2.5,3.1,3.4,0.7,0.9,1.0,2.3,10.1,2023,33,12,0.733,0.0,118.8,112.3,6.08
454,Grant Williams,PF,24,BOS,44,16,27.8,3.1,6.3,0.489,1.5,3.7,0.405,1.6,2.6,0.611,0.609,1.3,1.5,0.862,1.1,3.7,4.8,1.8,0.7,0.4,0.9,2.5,8.9,2023,33,12,0.733,0.0,118.8,112.3,6.08
456,Greg Brown III,PF,21,POR,13,0,6.3,0.8,1.8,0.458,0.1,0.5,0.167,0.8,1.4,0.556,0.479,0.4,0.9,0.417,0.2,1.2,1.4,0.1,0.3,0.4,0.5,0.8,2.2,2023,21,22,0.488,9.0,113.3,112.6,0.42
458,Drew Eubanks,C,25,POR,41,5,18.2,2.3,3.1,0.734,0.1,0.1,0.75,2.2,3.0,0.734,0.746,0.9,1.3,0.679,1.5,2.9,4.3,1.0,0.5,1.0,0.8,2.1,5.5,2023,21,22,0.488,9.0,113.3,112.6,0.42
